id_artykul,tytul,podtytul,data_utworzenia,status,data_zmiany
1,Wpływ Technologii na Edukację,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,2024-01-22 08:30:00,UTWORZONY,2024-01-22 09:45:00
2,Przyszłość sztucznej inteligencji,Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,2024-01-22 09:15:00,W KOREKCIE,2024-01-22 10:20:00
3,Zrównoważony rozwój w biznesie,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,2024-01-22 10:45:00,FINALIZACJA,2024-01-22 11:55:00
4,Nowe trendy w projektowaniu interfejsów,Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.,2024-01-22 11:30:00,UTWORZONY,2024-01-22 12:40:00
5,Rola sztuki w społeczeństwie,Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,2024-01-22 12:15:00,W KOREKCIE,2024-01-22 13:25:00
6,Era cyfrowej transformacji,Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,2024-01-22 13:45:00,UTWORZONY,2024-01-22 14:55:00
7,Blockchain w praktyce,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,2024-01-22 14:30:00,FINALIZACJA,2024-01-22 15:40:00
8,Nowoczesne metody zarządzania projektami,Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.,2024-01-22 15:15:00,W KOREKCIE,2024-01-22 16:25:00
9,Etyka w sztucznej inteligencji,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,2024-01-22 16:45:00,UTWORZONY,2024-01-22 17:55:00
10,Przyszłość pracy zdalnej,Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,2024-01-22 17:30:00,FINALIZACJA,2024-01-22 18:40:00
11,Nowe spojrzenie na edukację dziecięcą,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,2024-01-22 18:15:00,W KOREKCIE,2024-01-22 19:25:00
12,Rozwój sztucznej inteligencji w medycynie,Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.,2024-01-22 19:45:00,UTWORZONY,2024-01-22 20:55:00
13,E-commerce po pandemii,Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,2024-01-22 20:30:00,UTWORZONY,2024-01-22 21:40:00
14,Budowa zespołów w środowisku zdalnym,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,2024-01-22 21:15:00,W KOREKCIE,2024-01-22 22:25:00
15,Przyszłość transportu publicznego,Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.,2024-01-22 22:45:00,FINALIZACJA,2024-01-22 23:55:00
16,Nowoczesne podejście do zdrowego stylu życia,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,2024-01-23 08:00:00,UTWORZONY,2024-01-23 09:15:00
17,Wpływ sztucznej inteligencji na sztukę,Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,2024-01-23 08:45:00,FINALIZACJA,2024-01-23 10:00:00
18,Nowe technologie w edukacji zdalnej,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,2024-01-23 09:30:00,W KOREKCIE,2024-01-23 10:45:00
19,Innowacyjne rozwiązania w energetyce,Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.,2024-01-23 10:15:00,UTWORZONY,2024-01-23 11:30:00
20,Rola sztucznej inteligencji w biznesie,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,2024-01-23 11:00:00,W KOREKCIE,2024-01-23 12:15:00
