id_raa,id_aut,id_art,rola
1,5,1,NACZELNY
2,18,2,NACZELNY
3,8,3,NACZELNY
4,16,4,NACZELNY
5,2,5,NACZELNY
6,10,6,NACZELNY
7,19,7,NACZELNY
8,14,8,NACZELNY
9,9,9,NACZELNY
10,11,10,NACZELNY
11,1,11,NACZELNY
12,13,12,NACZELNY
13,4,13,NACZELNY
14,7,14,NACZELNY
15,12,15,NACZELNY
16,3,16,NACZELNY
17,17,17,NACZELNY
18,15,18,NACZELNY
19,6,19,NACZELNY
20,20,20,NACZELNY
21,5,21,NACZELNY
22,18,22,NACZELNY
23,8,23,NACZELNY
24,16,24,NACZELNY
25,2,25,NACZELNY
26,10,26,NACZELNY
27,19,27,NACZELNY
28,14,28,NACZELNY
29,9,29,NACZELNY
30,11,30,NACZELNY
31,1,31,NACZELNY
32,13,32,NACZELNY
33,4,33,NACZELNY
34,7,34,NACZELNY
35,12,35,NACZELNY
36,3,36,NACZELNY
37,17,37,NACZELNY
38,15,38,NACZELNY
39,6,39,NACZELNY
40,20,40,NACZELNY
41,5,41,NACZELNY
42,18,42,NACZELNY
43,8,43,NACZELNY
44,16,44,NACZELNY
45,2,45,NACZELNY
46,10,46,NACZELNY
47,19,47,NACZELNY
48,14,48,NACZELNY
49,9,49,NACZELNY
50,11,50,NACZELNY
51,1,51,NACZELNY
52,13,52,NACZELNY
53,4,53,NACZELNY
54,7,54,NACZELNY
55,12,55,NACZELNY
56,3,56,NACZELNY
57,17,57,NACZELNY
58,15,58,NACZELNY
59,6,59,NACZELNY
60,20,60,NACZELNY
61,5,61,NACZELNY
62,18,62,NACZELNY
63,8,63,NACZELNY
64,16,64,NACZELNY
65,2,65,NACZELNY
66,10,66,NACZELNY
67,19,67,NACZELNY
68,14,68,NACZELNY
69,9,69,NACZELNY
70,11,70,NACZELNY
71,1,71,NACZELNY
72,13,72,NACZELNY
73,4,73,NACZELNY
74,7,74,NACZELNY
75,12,75,NACZELNY
76,3,76,NACZELNY
77,17,77,NACZELNY
78,15,78,NACZELNY
79,6,79,NACZELNY
80,20,80,NACZELNY
81,5,81,NACZELNY
82,18,82,NACZELNY
83,8,83,NACZELNY
84,16,84,NACZELNY
85,2,85,NACZELNY
86,10,86,NACZELNY
87,19,87,NACZELNY
88,14,88,NACZELNY
89,9,89,NACZELNY
90,11,90,NACZELNY
91,1,91,NACZELNY
92,13,92,NACZELNY
93,4,93,NACZELNY
94,7,94,NACZELNY
95,12,95,NACZELNY
96,3,96,NACZELNY
97,17,97,NACZELNY
98,15,98,NACZELNY
99,6,99,NACZELNY
100,20,100,NACZELNY
101,5,101,NACZELNY
102,18,102,NACZELNY
103,8,103,NACZELNY
104,16,104,NACZELNY
105,2,105,NACZELNY
106,10,106,NACZELNY
107,19,107,NACZELNY
108,14,108,NACZELNY
109,9,109,NACZELNY
110,11,110,NACZELNY
111,1,111,NACZELNY
112,13,112,NACZELNY
113,4,113,NACZELNY
114,7,114,NACZELNY
115,12,115,NACZELNY
116,3,116,NACZELNY
117,17,117,NACZELNY
118,15,118,NACZELNY
119,6,119,NACZELNY
120,20,120,NACZELNY
